event_id,event_name,event_url,status_code,start_date,segment,genre,subgenre,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lon,venue_upcoming_events,venue_market_name,promoter_name,artist_name,artist_num_links,artist_num_images,price_min,price_max,offers_exist,seatmap_exists
Z7r9jZ1A7_YJe,Leonidas Kavakos w/ Gil Shaham,https://www.ticketmaster.com/event/Z7r9jZ1A7_YJe,onsale,2026-05-15,Music,Other,Other,Stern Auditorium / Perelman Stage at Carnegie Hall,New York,NY,US,40.765202000,-73.985298000,,,,Leonidas Kavakos,0,10,,,0,0
Z7r9jZ1A74aFa,Joshua Bell w/ Jeremy Denk,https://www.ticketmaster.com/event/Z7r9jZ1A74aFa,onsale,2026-06-03,Music,Classical,Classical/Vocal,Walt Disney Concert Hall,Los Angeles,CA,US,34.003101000,-118.287804000,,,,Joshua Bell,0,11,,,0,1
16d0ZbSepG7ngf4,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-11-28-2025/event/3900633096AB5515,onsale,2025-11-28,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
1AyZkubGkdat_wp,Jingle Bell Rock Ticket + Hotel Deals,https://travel.ticketmaster.com/attraction/124058?_uid=01e06df2-8b31-4246-b25c-04d738f89509&utm_source=Caesars_TM&utm_medium=TM_ADP_JingleBellRock,onsale,2025-11-28,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,PROMOTED BY VENUE,"Jingle Bell Rock – Reno, NV",2,11,,,0,0
16d0ZbSepG7iPfq,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-11-29-2025/event/3900633096B2551D,onsale,2025-11-29,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
16d0ZbSepG7lgfQ,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-11-29-2025/event/3900633096AF551A,onsale,2025-11-29,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
16d0ZbSepG7cAfL,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-11-30-2025/event/3900633096B4551F,onsale,2025-11-30,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
16d0ZbSepG7cgfP,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-11-30-2025/event/3900633096B75525,onsale,2025-11-30,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
16d0ZbSepG7RAfl,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-12-02-2025/event/3900633096BC552B,onsale,2025-12-02,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
G5vzZbmXGn-sd,Christmas with the Celts,https://www.ticketmaster.com/christmas-with-the-celts-denver-colorado-12-02-2025/event/1E0062EF8CAA1C43,onsale,2025-12-02,Music,Holiday,Christmas Music,Paramount Theatre,Denver,CO,US,39.74436200,-104.99027100,87.0,Denver and More,AEG LIVE,Christmas with the Celts,1,11,,,0,1
16d0ZbSepG7RPfm,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-12-03-2025/event/3900633096BE552E,onsale,2025-12-03,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
vv17bZbYGkmwaoHi,Christmas with the Celts,https://www.ticketmaster.com/christmas-with-the-celts-des-moines-iowa-12-03-2025/event/0600630BB2251F2C,onsale,2025-12-03,Music,Holiday,Christmas Music,Hoyt Sherman Place,Des Moines,IA,US,41.58864300,-93.63833900,33.0,Iowa,,Christmas with the Celts,1,11,,,0,1
16d0ZbSepG7Y447,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-12-04-2025/event/3900633096C15544,onsale,2025-12-04,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
vvG1bZbc2vX4aG,Christmas with Lorie Line 2025,https://www.ticketmaster.com/christmas-with-lorie-line-2025-des-moines-iowa-12-04-2025/event/060062D3C1F9524C,onsale,2025-12-04,Music,Holiday,Christmas Music,Hoyt Sherman Place,Des Moines,IA,US,41.58864300,-93.63833900,33.0,Iowa,,Lorie Line,0,10,,,0,1
16d0ZbSepG7s44G,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-12-05-2025/event/3900633096C5554C,onsale,2025-12-05,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
vv17bZbYGkl5Hei1,Christmas with the Celts (Late Show),https://www.ticketmaster.com/christmas-with-the-celts-late-show-kansas-city-missouri-12-05-2025/event/0600630ACBF02B0A,onsale,2025-12-05,Music,Holiday,Christmas Music,Madrid Theatre,Kansas City,MO,US,39.05811700,-94.58639100,7.0,Kansas City and More,MAMMOTH INC,Christmas with the Celts,1,11,,,0,1
vv17bZbYGklG-3Y6,Christmas with the Celts (Early Show),https://www.ticketmaster.com/christmas-with-the-celts-early-show-kansas-city-missouri-12-05-2025/event/0600630ACC852C07,onsale,2025-12-05,Music,Holiday,Christmas Music,Madrid Theatre,Kansas City,MO,US,39.05811700,-94.58639100,7.0,Kansas City and More,MAMMOTH INC,Christmas with the Celts,1,11,,,0,1
vv1AeZkupGkdQLt1J,Christmas In Concert,https://www.ticketmaster.com/christmas-in-concert-atlantic-city-new-jersey-12-05-2025/event/02006356DA7E92A6,onsale,2025-12-05,Music,Holiday,Christmas Music,Music Box at the Borgata,Atlantic City,NJ,US,39.37679700,-74.43536600,31.0,Philadelphia,LIVE NATION MUSIC,Christmas In Concert,0,10,,,0,1
16d0ZbSepG7SA4f,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-12-06-2025/event/3900633096CC5554,onsale,2025-12-06,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
16d0ZbSepG7w443,"Jingle Bell Rock – Reno, NV",https://www.ticketmaster.com/jingle-bell-rock-reno-nv-reno-nevada-12-06-2025/event/3900633096C95552,onsale,2025-12-06,Music,Holiday,Christmas Music,Eldorado Showroom at Eldorado Casino Reno,Reno,NV,US,39.52895408,-119.81430026,42.0,N. California/N. Nevada,CAESARS ENTERTAINMENT,"Jingle Bell Rock – Reno, NV",2,11,,,0,1
vvG1bZbc6e76iq,Christmas with Lorie Line,https://www.ticketmaster.com/christmas-with-lorie-line-burnsville-minnesota-12-06-2025/event/060062D1C2107B1D,onsale,2025-12-06,Music,Holiday,Christmas Music,Ames Center,Burnsville,MN,US,44.77407900,-93.27951200,30.0,Minneapolis/St. Paul and More,,Lorie Line,0,10,,,0,1
vvG1fZbRB53sWd,Purdue Christmas Show,https://www.ticketmaster.com/purdue-christmas-show-west-lafayette-indiana-12-06-2025/event/050062FE8B4B1F43,onsale,2025-12-06,Music,Holiday,Christmas Music,Elliott Hall of Music,West Lafayette,IN,US,40.42964930,-86.91217420,8.0,Indianapolis and More,PROMOTED BY VENUE,Purdue Christmas Show,0,10,,,0,1
vvG1fZbRBGK3dh,Purdue Christmas Show,https://www.ticketmaster.com/purdue-christmas-show-west-lafayette-indiana-12-06-2025/event/050062FE8C4D20DB,onsale,2025-12-06,Music,Holiday,Christmas Music,Elliott Hall of Music,West Lafayette,IN,US,40.42964930,-86.91217420,8.0,Indianapolis and More,PROMOTED BY VENUE,Purdue Christmas Show,0,10,,,0,1
